Hours Studied,Previous Scores,Sample Question Papers Practiced,Performance Index
7,99,1,91.0
4,82,2,65.0
8,51,2,45.0
5,52,2,36.0
7,75,5,66.0
3,78,6,61.0
7,73,6,63.0
8,45,6,42.0
5,77,2,61.0
4,89,0,69.0
8,91,5,84.0
8,79,2,73.0
3,47,2,27.0
6,47,2,33.0
5,79,8,68.0
2,72,3,43.0
8,73,4,67.0
6,83,2,70.0
2,54,9,30.0
5,75,0,63.0
1,99,3,71.0
6,96,0,85.0
9,74,6,73.0
1,85,6,57.0
3,61,3,35.0
7,62,4,49.0
4,79,9,66.0
9,84,6,83.0
3,94,5,74.0
5,90,3,74.0
3,61,3,39.0
7,44,1,36.0
5,70,9,58.0
9,52,1,47.0
7,67,3,60.0
2,97,4,74.0
4,59,3,42.0
9,72,2,68.0
2,55,1,32.0
9,68,3,64.0
5,62,4,45.0
2,63,0,39.0
4,73,0,58.0
7,46,5,36.0
8,77,4,71.0
3,76,3,54.0
1,43,0,17.0
4,73,6,54.0
2,81,3,58.0
8,61,2,53.0
4,44,6,27.0
2,89,1,65.0
6,81,9,75.0
6,62,0,52.0
4,93,3,78.0
6,99,7,91.0
2,54,5,33.0
2,70,8,47.0
4,98,0,78.0
8,48,0,38.0
7,82,4,70.0
9,97,5,98.0
8,92,7,87.0
5,64,2,49.0
2,64,5,41.0
5,88,2,71.0
8,60,7,54.0
9,48,3,42.0
9,94,1,91.0
1,87,8,61.0
9,77,9,74.0
7,61,7,54.0
9,82,5,81.0
8,62,2,52.0
1,88,1,65.0
8,43,3,36.0
8,68,3,61.0
3,54,0,35.0
1,40,8,15.0
8,93,9,88.0
3,69,7,45.0
3,68,6,49.0
1,59,5,33.0
5,72,2,60.0
7,80,3,71.0
9,83,1,81.0
7,75,6,67.0
9,99,1,95.0
8,61,9,58.0
2,52,0,29.0
1,46,5,21.0
7,47,3,38.0
7,67,7,60.0
8,84,0,76.0
5,82,8,69.0
3,48,5,30.0
8,64,1,57.0
6,95,7,81.0
3,55,4,36.0
1,49,4,25.0
3,50,4,27.0
